"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Value","Value Footnotes"
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2011","1000","EC dollar","2008","77900000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2011","1000","EC dollar","2008","39700000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2011","1000","EC dollar","2008","20200000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2011","1000","EC dollar","2008","18000000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2011","1000","EC dollar","2008","3111000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2011","1000","EC dollar","2008","348900000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2011","1000","EC dollar","2008","373900000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2011","1000","EC dollar","2008","25000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2011","1000","EC dollar","2008","3460000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2012","1000","EC dollar","2008","65000000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2012","1000","EC dollar","2008","17700000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2012","1000","EC dollar","2008","8910000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2012","1000","EC dollar","2008","38300000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2012","1000","EC dollar","2008","225800000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2012","1000","EC dollar","2008","24400000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2012","1000","EC dollar","2008","93000000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2012","1000","EC dollar","2008","95500000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2012","1000","EC dollar","2008","12900000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2012","1000","EC dollar","2008","276500000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2012","1000","EC dollar","2008","1295200000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2012","1000","EC dollar","2008","619000000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2012","1000","EC dollar","2008","310000000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2012","1000","EC dollar","2008","366200000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2012","1000","EC dollar","2008","89900000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2012","1000","EC dollar","2008","344800000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2012","1000","EC dollar","2008","203100000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2012","1000","EC dollar","2008","65700000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2012","1000","EC dollar","2008","40700000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2012","1000","EC dollar","2008","25000000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2012","1000","EC dollar","2008","555200000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2012","1000","EC dollar","2008","252700000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2012","1000","EC dollar","2008","149100000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2012","1000","EC dollar","2008","153400000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2012","1000","EC dollar","2008","81200000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2012","1000","EC dollar","2008","43100000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2012","1000","EC dollar","2008","19900000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2012","1000","EC dollar","2008","18200000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","EC dollar","2008","3202000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","1000","EC dollar","2008","380900000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2012","1000","EC dollar","2008","406900000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2012","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","1000","EC dollar","2008","3583000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2013","1000","EC dollar","2008","53100000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2013","1000","EC dollar","2008","18800000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2013","1000","EC dollar","2008","8350000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2013","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2013","1000","EC dollar","2008","236800000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2013","1000","EC dollar","2008","34300000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2013","1000","EC dollar","2008","97800000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2013","1000","EC dollar","2008","91400000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2013","1000","EC dollar","2008","13300000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2013","1000","EC dollar","2008","291500000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2013","1000","EC dollar","2008","1335700000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2013","1000","EC dollar","2008","640800000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2013","1000","EC dollar","2008","312800000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2013","1000","EC dollar","2008","382100000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2013","1000","EC dollar","2008","95900000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2013","1000","EC dollar","2008","289700000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2013","1000","EC dollar","2008","202400000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2013","1000","EC dollar","2008","71200000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2013","1000","EC dollar","2008","42400000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2013","1000","EC dollar","2008","28800000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2013","1000","EC dollar","2008","571400000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2013","1000","EC dollar","2008","245600000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2013","1000","EC dollar","2008","167400000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2013","1000","EC dollar","2008","158400000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2013","1000","EC dollar","2008","86800000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2013","1000","EC dollar","2008","46200000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2013","1000","EC dollar","2008","21900000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2013","1000","EC dollar","2008","18700000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","EC dollar","2008","3234000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2013","1000","EC dollar","2008","344300000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2013","1000","EC dollar","2008","370300000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2013","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2013","1000","EC dollar","2008","3579000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2014","1000","EC dollar","2008","53600000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2014","1000","EC dollar","2008","19900000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2014","1000","EC dollar","2008","8020000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2014","1000","EC dollar","2008","25700000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2014","1000","EC dollar","2008","253400000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2014","1000","EC dollar","2008","36000000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2014","1000","EC dollar","2008","103100000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2014","1000","EC dollar","2008","102700000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2014","1000","EC dollar","2008","11600000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2014","1000","EC dollar","2008","318600000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2014","1000","EC dollar","2008","1376100000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2014","1000","EC dollar","2008","644600000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2014","1000","EC dollar","2008","324200000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2014","1000","EC dollar","2008","407300000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2014","1000","EC dollar","2008","103200000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2014","1000","EC dollar","2008","290200000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2014","1000","EC dollar","2008","209000000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2014","1000","EC dollar","2008","75100000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2014","1000","EC dollar","2008","44300000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2014","1000","EC dollar","2008","30800000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2014","1000","EC dollar","2008","598200000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2014","1000","EC dollar","2008","273400000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2014","1000","EC dollar","2008","158900000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2014","1000","EC dollar","2008","165900000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2014","1000","EC dollar","2008","101200000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2014","1000","EC dollar","2008","58500000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2014","1000","EC dollar","2008","24000000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2014","1000","EC dollar","2008","18700000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2014","1000","EC dollar","2008","3379000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","1000","EC dollar","2008","344300000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2014","1000","EC dollar","2008","370300000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2014","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","1000","EC dollar","2008","3723000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2015","1000","EC dollar","2008","56100000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2015","1000","EC dollar","2008","20900000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2015","1000","EC dollar","2008","7320000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2015","1000","EC dollar","2008","27900000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2015","1000","EC dollar","2008","288600000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2015","1000","EC dollar","2008","31800000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2015","1000","EC dollar","2008","108700000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2015","1000","EC dollar","2008","141000000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2015","1000","EC dollar","2008","7100000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2015","1000","EC dollar","2008","329600000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2015","1000","EC dollar","2008","1398300000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2015","1000","EC dollar","2008","632900000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2015","1000","EC dollar","2008","327400000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2015","1000","EC dollar","2008","438000000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2015","1000","EC dollar","2008","113600000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2015","1000","EC dollar","2008","303500000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2015","1000","EC dollar","2008","213600000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2015","1000","EC dollar","2008","82700000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2015","1000","EC dollar","2008","46300000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2015","1000","EC dollar","2008","36400000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2015","1000","EC dollar","2008","628200000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2015","1000","EC dollar","2008","279000000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2015","1000","EC dollar","2008","157700000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2015","1000","EC dollar","2008","191500000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2015","1000","EC dollar","2008","97300000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2015","1000","EC dollar","2008","55000000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2015","1000","EC dollar","2008","24000000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2015","1000","EC dollar","2008","18300000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2015","1000","EC dollar","2008","3512000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2015","1000","EC dollar","2008","370400000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2015","1000","EC dollar","2008","396400000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2015","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","1000","EC dollar","2008","3882000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2016","1000","EC dollar","2008","58700000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2016","1000","EC dollar","2008","21900000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2016","1000","EC dollar","2008","7430000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2016","1000","EC dollar","2008","29300000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2016","1000","EC dollar","2008","323200000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2016","1000","EC dollar","2008","35500000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2016","1000","EC dollar","2008","115700000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2016","1000","EC dollar","2008","165300000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2016","1000","EC dollar","2008","6700000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2016","1000","EC dollar","2008","391400000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2016","1000","EC dollar","2008","1431000000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2016","1000","EC dollar","2008","626500000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2016","1000","EC dollar","2008","346700000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2016","1000","EC dollar","2008","457800000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2016","1000","EC dollar","2008","115400000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2016","1000","EC dollar","2008","255900000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2016","1000","EC dollar","2008","201100000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2016","1000","EC dollar","2008","90600000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2016","1000","EC dollar","2008","50500000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2016","1000","EC dollar","2008","40100000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2016","1000","EC dollar","2008","687320000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2016","1000","EC dollar","2008","294420000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2016","1000","EC dollar","2008","191700000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2016","1000","EC dollar","2008","201200000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2016","1000","EC dollar","2008","80600000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2016","1000","EC dollar","2008","40600000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2016","1000","EC dollar","2008","25000000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2016","1000","EC dollar","2008","15000000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2016","1000","EC dollar","2008","3635000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2016","1000","EC dollar","2008","387200000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2016","1000","EC dollar","2008","413200000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2016","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","1000","EC dollar","2008","4022000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2017","1000","EC dollar","2008","68800000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2017","1000","EC dollar","2008","22900000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2017","1000","EC dollar","2008","7720000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2017","1000","EC dollar","2008","38200000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2017","1000","EC dollar","2008","313300000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2017","1000","EC dollar","2008","34200000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2017","1000","EC dollar","2008","122700000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2017","1000","EC dollar","2008","150900000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2017","1000","EC dollar","2008","5500000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2017","1000","EC dollar","2008","465900000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2017","1000","EC dollar","2008","1420500000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2017","1000","EC dollar","2008","644100000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2017","1000","EC dollar","2008","328400000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2017","1000","EC dollar","2008","448000000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2017","1000","EC dollar","2008","111500000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2017","1000","EC dollar","2008","278400000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2017","1000","EC dollar","2008","218300000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2017","1000","EC dollar","2008","87700000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2017","1000","EC dollar","2008","46500000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2017","1000","EC dollar","2008","41200000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2017","1000","EC dollar","2008","698460000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2017","1000","EC dollar","2008","303460000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2017","1000","EC dollar","2008","189700000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2017","1000","EC dollar","2008","205300000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","R+S+T","2017","1000","EC dollar","2008","88000000",""
"Antigua and Barbuda","2.4","Industries","Arts, entertainment and recreation","R","2017","1000","EC dollar","2008","49000000",""
"Antigua and Barbuda","2.4","Industries","Other service activities","S","2017","1000","EC dollar","2008","25400000",""
"Antigua and Barbuda","2.4","Industries","Private households with employed persons","T","2017","1000","EC dollar","2008","13600000",""
"Antigua and Barbuda","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2017","1000","EC dollar","2008","3751000000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","1000","EC dollar","2008","383100000",""
"Antigua and Barbuda","2.4","Industries","Plus: Taxes on products","D.21","2017","1000","EC dollar","2008","409100000",""
"Antigua and Barbuda","2.4","Industries","Less: Subsidies on products","D.31","2017","1000","EC dollar","2008","26000000",""
"Antigua and Barbuda","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1000","EC dollar","2008","4134000000",""
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2018","1000","EC dollar","2008","73000000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2018","1000","EC dollar","2008","24000000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2018","1000","EC dollar","2008","8540000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2018","1000","EC dollar","2008","40500000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2018","1000","EC dollar","2008","321400000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2018","1000","EC dollar","2008","41800000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2018","1000","EC dollar","2008","135000000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2018","1000","EC dollar","2008","143300000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2018","1000","EC dollar","2008","1300000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2018","1000","EC dollar","2008","605100000",""
